Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return
JE Cleantech Holdings Limited,JCSE,Industrials,4/22/2022,3.8,$4.00,$19.00,$19.00,375.00%
"Applied Blockchain, Inc.",APLD,Technology,4/13/2022,8,$5.00,$4.85,$4.02,-19.60%
"Excelerate Energy, Inc.",EE,Oil & Gas,4/13/2022,16,$24.00,$26.85,$24.20,0.83%
Genius Group Limited,GNS,Consumer Services,4/12/2022,3.3,$6.00,$30.50,$6.23,3.83%
Expion360 Inc.,XPON,Industrials,4/1/2022,2.2,$7.00,$7.93,$4.15,-40.71%
"AN2 Therapeutics, Inc.",ANTX,Health Care,3/25/2022,4.6,$15.00,$15.40,$14.57,-2.87%
Akanda Corp.,AKAN,Health Care,3/15/2022,4,$4.00,$10.50,$11.55,188.75%
"The Marygold Companies, Inc. (aka Concierge Technologies, Inc.)",MGLD,Financials,3/10/2022,1.7,$2.00,$2.17,$1.51,-24.50%
"Blue Water Vaccines, Inc.",BWV,Health Care,2/18/2022,2.2,$9.00,$57.40,$4.85,-46.11%
Meihua International Medical Technologies,MHUA,Health Care,2/16/2022,3.6,$10.00,$12.92,$8.47,-15.30%
"Vivakor, Inc.",VIVK,Oil & Gas,2/14/2022,1.6,$5.00,$4.35,$1.99,-60.20%
Modiv Inc.,MDV,Financials,2/11/2022,0,$25.00,$68.00,$18.97,-24.12%
"The Arena Group (aka theMaven, Inc.)",AREN,Technology,2/11/2022,3.6,$8.25,$8.25,$9.25,12.12%
"HEARTCORE ENTERPRISES, INC.",HTCR,Technology,2/10/2022,3,$5.00,$4.95,$2.07,-58.60%
Sky Technologies Corp. (SQL Technologies Corp.),SKYX,Technology,2/10/2022,1.7,$14.00,$11.85,$13.35,-4.64%
"ARCELLX, INC.",ACLX,Health Care,2/4/2022,8.3,$15.00,$16.80,$10.71,-28.60%
"Nuvectis Pharma, Inc.",NVCT,Health Care,2/4/2022,3.2,$5.00,$3.25,$9.68,93.60%
Silver Spike Investment Corp.,SSIC,Financials,2/4/2022,6.1,$14.00,$14.00,$10.32,-26.29%
Credo Technology Group Holding Ltd.,CRDO,Technology,1/27/2022,20,$10.00,$11.65,$11.18,11.80%
"Yoshitsu Co., Ltd",TKLF,Consumer Goods,1/18/2022,6,$4.00,$32.00,$2.00,-50.00%
Cerberus Cyber Sentinel Corp.,CISO,Technology,1/14/2022,2,$5.00,$5.42,$3.13,-37.40%
"TPG, Inc.",TPG,Financials,1/13/2022,33.9,$29.50,$34.00,$26.55,-10.00%
"Amylyx Pharmaceuticals, Inc.",AMLX,Health Care,1/7/2022,10,$19.00,$18.07,$9.97,-47.53%
"CinCor Pharma, Inc.",CINC,Health Care,1/7/2022,12.1,$16.00,$16.00,$21.73,35.81%
"Hour Loop, Inc.",HOUR,Consumer Goods,1/7/2022,1.5,$4.00,$7.99,$3.21,-19.75%
"Vigil Neuroscience, Inc.",VIGL,Health Care,1/7/2022,7,$14.00,$12.65,$5.73,-59.07%
Bionomics Limited,BNOX,Health Care,12/16/2021,1.6,$12.35,$14.73,$8.21,-33.52%
