Company,Symbol,Managers,Offer Date,Offer Price,1st Day Close,Current Price,Return
I-Mab,IMAB,Jefferies/ CICC,1-17-20,$14.00,$12.75,$14.75,-8.93%
LIZHI,LIZI,Credit Suisse/ Citigroup,1-17-20,$11.00,$11.63,$11.03,5.73%
Phoenix Tree Holdings Ltd.,DNK,Citigroup/ Credit Suisse/ J.P. Morgan,1-17-20,$13.50,$13.50,$13.50,0.00%
Velocity Financial,VEL,Wells Fargo Securities/ Citigroup/ JMP Securities,1-17-20,$13.00,$13.51,$13.85,3.92%
Gores Holdings IV,GHIVU,Deutsche Bank Securities,1-24-20,$10.00,$10.45,$10.52,4.50%
SCVX Corp.,SCVXU,Credit Suisse,1-24-20,$10.00,$10.32,$10.30,3.20%
AnPac Bio-Medical Science,ANPC,WestPark Capital,1-28-20,$12.00,$11.25,$12.00,-6.25%
Annovis Bio,ANVS,ThinkEquity (a division of Fordham Financial Management ),1-29-20,$6.00,$9.59,$6.63,59.83%
Black Diamond Therapeutics,BDTX,J.P. Morgan/ Jefferies/ Cowen,1-29-20,$19.00,$39.48,$33.00,107.79%
1Life Healthcare,OWEM,J.P. Morgan/ Morgan Stanley,1-31-20,$14.00,$22.07,$18.00,57.64%
Arcutis Biotherapeutics,ARQT,Goldman Sachs/ Cowen/ Guggenheim Securities,1-31-20,$17.00,$21.80,$23.05,28.24%
Reynolds Consumer Products,REYN,Credit Suisse/ Goldman Sachs/ J.P. Morgan,1-31-20,$26.00,$28.55,$27.50,9.81%
InterPrivate Acquisition,IPV.U,EarlyBirdCapital,2-4-20,$10.00,$10.10,$10.09,1.00%
Beam Therapeutics,BEAM,J.P. Morgan/ Jefferies/ Barclays,2-6-20,$17.00,$18.75,$24.00,10.29%
Casper Sleep,CSPR,Morgan Stanley/ Goldman Sachs/ Jefferies,2-6-20,$12.00,$13.50,$14.50,12.50%
PPD,PPD,Barclays/ J.P. Morgan/ Morgan Stanley/ Goldman Sachs/ BofA Securities/ Credit Suisse/ Jefferies/ UBS Investment Bank/ Citigroup/ Deutsche Bank Securities/ Evercore ISI/ HSBC/ Mizuho Securities/ Baird/ William Blair,2-6-20,$27.00,$30.00,$31.00,11.11%
Schrodinger,SDGR,Morgan Stanley/ BofA Securities/ Jefferies/ BMO Capital Markets,2-6-20,$17.00,$28.64,$26.00,68.47%
NexPoint Real Estate Finance,NREF,Raymond James,2-7-20,$19.00,$18.80,$16.00,-1.05%
OneWater Marine,ONEW,Raymond James/ Baird/ SunTrust Robinson Humphrey,2-7-20,$12.00,$15.14,$15.02,26.17%
Professional Holding,PFHD,"Stephens/ Keefe, Bruyette & Woods (A Stifel Company​)",2-7-20,$18.50,$19.55,$19.31,5.68%
CITIC Capital Acquisition (CCAC.U) (u),CCAC.U,Credit Suisse,2-11-20,$10.00,$10.20,$10.26,2.00%
Greenrose Acquisition,GNRSU,Imperial Capital,2-11-20,$10.00,$10.07,$10.02,0.70%
Huize Holding Ltd.,HUIZ,Citigroup/ CICC,2-12-20,$10.50,$10.00,$10.62,-4.76%
Yunhong International,ZGYHU,Maxim Group LLC,2-13-20,$10.00,$10.00,$10.01,0.00%
Muscle Maker,GRIL,Alexander Capital,2-13-20,$5.00,$3.86,$4.70,-22.80%
Revolution Medicines,RVMD,J.P. Morgan/ Cowen/ SVB Leerink/ Guggenheim Securities,2-13-20,$17.00,$28.90,$28.21,70.00%
Churchill Capital Corp. III,CCXX.U,Citigroup/ Goldman Sachs,2-14-20,$10.00,$10.51,$10.58,5.10%
Newborn Acquisition,NBACU,Chardan,2-14-20,$10.00,$10.05,$10.02,0.50%
East Stone Acquisition,ESSCU,I-Bankers Securities,2-20-20,$10.00,$10.01,$10.05,0.10%
dMY Technology Group,DMYT.U,Goldman Sachs/ UBS Investment Bank,2-21-20,$10.00,$10.34,$10.31,3.40%
ZHONGCHAO,ZCMD,Network 1 Financial Securities,2-24-20,$4.00,$4.00,$4.34,0.00%
Passage BIO,PASG,J.P. Morgan/ Goldman Sachs/ Cowen,2-28-20,$18.00,$22.20,$22.27,23.33%
GFL Environmental Holdings,GFL,JPMorgan/ BMO Capital Markets/ Goldman Sachs/ RBC Capital Markets/ Scotiabank,3-3-20,$19.00,$16.80,$17.50,-11.58%
Flying Eagle Acquisition,FEAC.U,Goldman Sachs/ DNB Markets,3-6-20,$10.00,$10.40,$10.45,4.00%
LifeSci Acquisition,LSACU,Chardan,3-6-20,$10.00,$10.25,$10.10,2.50%
DFP Healthcare Acquisitions,DFPHU,Deutsche Bank Securities,3-11-20,$10.00,$10.20,$10.18,2.00%
IMARA,IMRA,Morgan Stanley/ Citigroup/ SVB Leerink,3-12-20,$16.00,$15.00,$14.00,-6.25%
WiMi Hologram Cloud,WIMI,Benchmark Company/ Maxim Group/ China Merchants Securities (HK)/ AMTD Global Markets,4-1-20,$5.50,$5.50,$6.00,0.00%
Zentalis Pharmaceuticals,ZNTL,Morgan Stanley/ Jefferies/ SVB Leerink/ Guggenheim Securities,4-3-20,$18.00,$23.20,$25.20,28.89%
Keros Therapeutics,KROS,Jefferies/ SVB Leerink/ Piper Sandler,4-8-20,$16.00,$20.08,$20.85,25.50%
Social Capital Hedosophia Holdings Corp. III,IPOC.U,Credit Suisse,4-22-20,$10.00,$10.07,$10.08,0.70%
CC Neuberger Principal Holdings I,PCPL.U,Goldman Sachs/ BofA Securities,4-24-20,$10.00,$10.06,$10.05,0.60%
Chardan Healthcare Acquisition 2,CHAQ.U,Chardan,4-24-20,$10.00,$9.98,$10.00,-0.20%
