Symbol,Company,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,T-10Days,T-90Days,T+100Days,SPY 90D Return,100 day Return
BLTE,"Belite Bio, Inc.",Health Care,2022-04-29,6.0,$6.00,$10.59,$10.59,76.50%,2022-04-19,2022-02-04,2022-08-07,-0.020881234117736715,0.2766761343681165
HLVX,"HilleVax, Inc.",Health Care,2022-04-29,11.8,$17.00,$19.09,$19.09,12.29%,2022-04-19,2022-02-04,2022-08-07,-0.020881234117736715,0.029334702014995415
OST,"Ostin Technology Group Co., Ltd.",Industrials,2022-04-27,3.4,$4.00,$39.66,$3.70,-7.50%,2022-04-17,2022-02-02,2022-08-05,-0.039794359208869166,-0.9020423599240946
TNON,"Tenon Medical, Inc.",Health Care,2022-04-27,3.2,$5.00,$22.50,$21.61,332.20%,2022-04-17,2022-02-02,2022-08-05,-0.039794359208869166,0.49022216796875
JCSE,JE Cleantech Holdings Limited,Industrials,2022-04-22,3.8,$4.00,$19.00,$4.35,8.75%,2022-04-12,2022-01-28,2022-07-31,-0.0015009384241898992,-0.6905263097662675
APLD,"Applied Blockchain, Inc.",Technology,2022-04-13,8.0,$5.00,$4.85,$3.36,-32.80%,2022-04-03,2022-01-19,2022-07-22,0.005704644252911768,-0.3525772852273781
EE,"Excelerate Energy, Inc.",Oil & Gas,2022-04-13,16.0,$24.00,$26.85,$27.25,13.54%,2022-04-03,2022-01-19,2022-07-22,0.005704644252911768,-0.022532571085319718
GNS,Genius Group Limited,Consumer Services,2022-04-12,3.3,$6.00,$30.50,$5.75,-4.17%,2022-04-02,2022-01-18,2022-07-21,-0.00473815006473337,-0.7986885289676854
XPON,Expion360 Inc.,Industrials,2022-04-01,2.2,$7.00,$7.93,$3.59,-48.71%,2022-03-22,2022-01-07,2022-07-10,-0.04359550668065107,-0.518915493089018
ANTX,"AN2 Therapeutics, Inc.",Health Care,2022-03-25,4.6,$15.00,$15.40,$15.63,4.20%,2022-03-15,2021-12-31,2022-07-03,-0.12203130731241939,0.100649427454798
AKAN,Akanda Corp.,Health Care,2022-03-15,4.0,$4.00,$10.50,$8.49,112.25%,2022-03-05,2021-12-21,2022-06-23,-0.06670843426508528,-0.1671428680419922
MGLD,"The Marygold Companies, Inc. (aka Concierge Technologies, Inc.)",Financials,2022-03-10,1.7,$2.00,$2.17,$1.37,-31.50%,2022-02-28,2021-12-16,2022-06-18,-0.05823154220775051,-0.6260766901819583
BWV,"Blue Water Vaccines, Inc.",Health Care,2022-02-18,2.2,$9.00,$57.40,$3.59,-60.11%,2022-02-08,2021-11-26,2022-05-29,-0.022090078466778438,-0.922648084683087
MHUA,Meihua International Medical Technologies,Health Care,2022-02-16,3.6,$10.00,$12.92,$8.30,-17.00%,2022-02-06,2021-11-24,2022-05-27,-0.04082222677245098,-0.38698915129039074
VIVK,"Vivakor, Inc.",Oil & Gas,2022-02-14,1.6,$5.00,$4.35,$2.58,-48.40%,2022-02-04,2021-11-22,2022-05-25,-0.04149322905932041,-0.5669677269439753
MDV,Modiv Inc.,Financials,2022-02-11,0.0,$25.00,$68.00,$18.23,-27.08%,2022-02-01,2021-11-19,2022-05-22,-0.03710757381392588,-0.7352457247605301
AREN,"The Arena Group (aka theMaven, Inc.)",Technology,2022-02-11,3.6,$8.25,$8.25,$10.35,25.45%,2022-02-01,2021-11-19,2022-05-22,-0.03710757381392588,0.26060601436730585
HTCR,"HEARTCORE ENTERPRISES, INC.",Technology,2022-02-10,3.0,$5.00,$4.95,$1.69,-66.20%,2022-01-31,2021-11-18,2022-05-21,-0.055834897026458656,-0.6545454335278379
SKYX,Sky Technologies Corp. (SQL Technologies Corp.),Technology,2022-02-10,1.7,$14.00,$11.85,$12.00,-14.29%,2022-01-31,2021-11-18,2022-05-21,-0.055834897026458656,-0.07257388883264312
ACLX,"ARCELLX, INC.",Health Care,2022-02-04,8.3,$15.00,$16.80,$10.93,-27.13%,2022-01-25,2021-11-12,2022-05-15,-0.055395616385473224,-0.4494047369005447
NVCT,"Nuvectis Pharma, Inc.",Health Care,2022-02-04,3.2,$5.00,$3.25,$9.50,90.00%,2022-01-25,2021-11-12,2022-05-15,-0.055395616385473224,2.5523077157827525
SSIC,Silver Spike Investment Corp.,Financials,2022-02-04,6.1,$14.00,$14.00,$10.57,-24.50%,2022-01-25,2021-11-12,2022-05-15,-0.055395616385473224,-0.3014285905020578
CRDO,Credo Technology Group Holding Ltd.,Technology,2022-01-27,20.0,$10.00,$11.65,$11.04,10.40%,2022-01-17,2021-11-04,2022-05-07,-0.0011937026870383679,-0.007725253378585795
TKLF,"Yoshitsu Co., Ltd",Consumer Goods,2022-01-18,6.0,$4.00,$32.00,$1.92,-52.00%,2022-01-08,2021-10-26,2022-04-28,0.025808153354425944,-0.9371875002980232
CISO,Cerberus Cyber Sentinel Corp.,Technology,2022-01-14,2.0,$5.00,$5.42,$4.22,-15.60%,2022-01-04,2021-10-22,2022-04-24,0.0579720776198994,-0.42250921210666653
TPG,"TPG, Inc.",Financials,2022-01-13,33.9,$29.50,$34.00,$25.71,-12.85%,2022-01-03,2021-10-21,2022-04-23,0.05079174650458249,-0.2191176694982192
AMLX,"Amylyx Pharmaceuticals, Inc.",Health Care,2022-01-07,10.0,$19.00,$18.07,$9.00,-52.63%,2021-12-28,2021-10-15,2022-04-17,0.07416224674761226,-0.34643051360983523
CINC,"CinCor Pharma, Inc.",Health Care,2022-01-07,12.1,$16.00,$16.00,$25.42,58.88%,2021-12-28,2021-10-15,2022-04-17,0.07416224674761226,0.34562504291534424
HOUR,"Hour Loop, Inc.",Consumer Goods,2022-01-07,1.5,$4.00,$7.99,$3.04,-24.00%,2021-12-28,2021-10-15,2022-04-17,0.07416232075616776,-0.6132665828929204
VIGL,"Vigil Neuroscience, Inc.",Health Care,2022-01-07,7.0,$14.00,$12.65,$3.39,-75.79%,2021-12-28,2021-10-15,2022-04-17,0.07416232075616776,-0.46482211975646853
BNOX,Bionomics Limited,Health Care,2021-12-16,1.6,$12.35,$14.73,$7.80,-36.84%,2021-12-06,2021-09-23,2022-03-26,0.0231058021637043,-0.4209097082106117
IMMX,"IMMIX BIOPHARMA, INC.",Health Care,2021-12-16,4.2,$5.00,$3.67,$1.38,-72.40%,2021-12-06,2021-09-23,2022-03-26,0.0231058021637043,-0.4196185094928272
GNTA,Genenta Science S.p.A.,Health Care,2021-12-15,2.4,$11.50,$11.00,$5.80,-49.57%,2021-12-05,2021-09-22,2022-03-25,0.03553650716052425,-0.36363636363636365
IOT,"Samsara, Inc.",Technology,2021-12-15,35.0,$23.00,$24.70,$12.34,-46.35%,2021-12-05,2021-09-22,2022-03-25,0.03553650716052425,-0.2736842113391641
VINE,"Fresh Vine Wine, Inc.",Consumer Goods,2021-12-14,2.2,$10.00,$7.05,$3.49,-65.10%,2021-12-04,2021-09-21,2022-03-24,0.04563797576736248,-0.5475177346217992
SIDU,Sidus Space Inc.,Technology,2021-12-14,3.0,$5.00,$12.19,$2.19,-56.20%,2021-12-04,2021-09-21,2022-03-24,0.04563797576736248,-0.6694011198906349
HCP,"HashiCorp, Inc.",Technology,2021-12-09,15.3,$80.00,$85.19,$49.13,-38.59%,2021-11-29,2021-09-16,2022-03-19,0.02967643661945234,-0.45063977114862014
NU,Nu Holdings Ltd.,Financials,2021-12-09,289.2,$9.00,$10.33,$6.01,-33.22%,2021-11-29,2021-09-16,2022-03-19,0.02967643661945234,-0.23910937158124373
REFI,"Chicago Atlantic Real Estate Finance, Inc.",Financials,2021-12-08,6.3,$16.00,$16.49,$17.79,11.19%,2021-11-28,2021-09-15,2022-03-18,0.028044091128123696,0.10915711512806767
BIOSU,BIOPLUS ACQUISITION CORP.,Blank Check,2021-12-03,20.0,$10.00,$0.00,$10.04,0.40%,2021-11-23,2021-09-10,2022-03-13,0.053044034939915496,-0.002997071524428829
